"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","SAMPLING_WEIGHT_CC_1997","CV_HGC_RES_DAD_1997","CV_HGC_RES_MOM_1997","KEY_RACE_ETHNICITY_1997","CV_HIGHEST_DEGREE_EVER_EDT_2017","SAMPLING_WEIGHT_CC_2017","degree_label","race"
"6296",8616,2,10,1982,0,86410,11,10,2,2,100820,"HS Diploma","Hispanic"
"6297",8618,1,10,1980,0,104187,NA,4,2,2,170994,"HS Diploma","Hispanic"
"6298",8620,2,3,1984,0,86646,NA,NA,2,2,107423,"HS Diploma","Hispanic"
"6299",8621,1,2,1980,0,104187,12,11,2,2,170994,"HS Diploma","Hispanic"
"6300",8622,2,2,1983,0,91825,12,11,2,2,116412,"HS Diploma","Hispanic"
"6301",8623,1,6,1981,0,104206,4,NA,2,2,151359,"HS Diploma","Hispanic"
"6302",8624,2,3,1981,0,85761,14,10,2,2,105800,"HS Diploma","Hispanic"
"6303",8627,2,11,1980,0,102207,8,6,2,0,127430,"None","Hispanic"
"6304",8629,2,5,1982,0,99402,NA,15,1,5,111611,"MA","Black"
"6305",8631,1,5,1983,0,98816,NA,12,1,2,131675,"HS Diploma","Black"
"6306",8632,2,4,1980,0,83584,12,12,1,0,101209,"None","Black"
"6307",8633,2,10,1980,0,83584,12,12,1,2,101209,"HS Diploma","Black"
"6308",8634,2,5,1983,0,89829,NA,6,2,1,113881,"GED","Hispanic"
"6309",8635,1,9,1983,0,88720,NA,6,2,0,127520,"None","Hispanic"
"6310",8636,1,9,1984,0,85345,NA,6,2,0,123991,"None","Hispanic"
"6311",8637,1,6,1980,0,115699,NA,NA,1,2,156927,"HS Diploma","Black"
"6312",8638,2,9,1980,0,83584,NA,NA,1,0,101209,"None","Black"
"6313",8640,2,9,1981,0,83897,NA,6,2,0,103500,"None","Hispanic"
"6314",8641,2,2,1983,0,89829,NA,6,2,0,113881,"None","Hispanic"
"6315",8642,1,12,1981,0,95326,NA,12,1,1,133983,"GED","Black"
"6316",8644,2,10,1983,0,102728,NA,12,1,0,130571,"None","Black"
"6317",8645,2,6,1982,0,88170,6,6,2,4,102874,"BA","Hispanic"
"6318",8646,2,6,1982,0,88170,6,6,2,4,102874,"BA","Hispanic"
"6319",8647,1,6,1982,0,105726,NA,12,2,2,159239,"HS Diploma","Hispanic"
"6320",8649,2,3,1981,0,244748,NA,10,1,0,292337,"None","Black"
"6321",8650,2,6,1984,0,247835,NA,10,1,0,299416,"None","Black"
