"","term","estimate","std.error","statistic","df","p.value"
"1","CV_HGC_RES_MOM_1997",0.165235094313588,0.0190653695861231,8.66676586400169,35.6627183612046,2.65896190685631e-10
"2","DV_RACE_BLACK",-0.0646923574347314,0.360981496896724,-0.179212391745496,154.52244273271,0.85800570751922
"3","DV_RACE_HISPANIC",2.56488817952297,0.260858115178646,9.83250292123914,543.487566474523,4.15455354771801e-21
"4","DV_RACE_MIXED",-0.0507526338913403,1.5106973530857,-0.0335955006392741,205.782440592197,0.973232273783232
"5","CV_HGC_RES_DAD_1997",0.206579039673811,0.0186263665947143,11.0906782932337,17.4152767038888,2.55541375875739e-09
"6","CV_HGC_RES_MOM_1997:DV_RACE_BLACK",0.0261745925459966,0.0396162315710077,0.6607037446023,15.6696167094968,0.518398600017168
"7","CV_HGC_RES_MOM_1997:DV_RACE_HISPANIC",-0.120324129241916,0.0289258574663416,-4.15974286611647,42.3748906429787,0.000152230187613756
"8","CV_HGC_RES_MOM_1997:DV_RACE_MIXED",0.00870058886419617,0.119606241629902,0.072743602220346,44.5736788429748,0.942335598821373
"9","DV_RACE_BLACK:CV_HGC_RES_DAD_1997",-0.0604551464105728,0.0313414595389919,-1.92891930688042,17.6435282595598,0.0699866396158982
"10","DV_RACE_HISPANIC:CV_HGC_RES_DAD_1997",-0.0979005224898405,0.0298305508715689,-3.28188785085925,18.2502788542487,0.00408531087367211
"11","DV_RACE_MIXED:CV_HGC_RES_DAD_1997",-0.0447857630712417,0.130999154524851,-0.341878260464236,14.2607243992894,0.737428392259529
"12","None|GED",1.82403922142418,0.198090141634221,9.20812720096045,2463.21057878937,6.88762451922009e-20
"13","GED|HS",3.04565321122075,0.195795491808864,15.5552775147342,2595.00175730587,3.10787661704771e-52
"14","HS|AA",5.1066344358892,0.200942891143759,25.413362009586,2085.93867979096,2.38411086183012e-124
"15","AA|BA",5.58668771611381,0.203452068701516,27.4594785482866,1899.91054214261,4.39185410313399e-140
"16","BA|MA",7.23820195989171,0.214855230194047,33.6887398708169,1562.80599336223,1.68323159238187e-187
"17","MA|PhD",9.87261756069952,0.257864901084627,38.286007592245,2187.94544765576,6.27805130304469e-246
